ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3135.T,マーケットエンタープライズ,プライム（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,8288923136.0,14616999936.0,-0.17
3137.T,ファンデリー,グロース（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,2276964096.0,2072999936.0,0.0
3138.T,富士山マガジンサービス,グロース（内国株式）,小売業,小売 ,32.0,4.4,0.0,24.42,2318454528.0,5909000192.0,0.13
3139.T,ラクト・ジャパン,プライム（内国株式）,卸売業,商社・卸売 ,48.0,2.36,1.08,17.6,20225236992.0,154413006848.0,0.11
3140.T,ＢＲＵＮＯ,グロース（内国株式）,卸売業,商社・卸売 ,8.0,0.86,0.46,5.13,13439015936.0,17175000064.0,0.16
3141.T,ウエルシアホールディングス,プライム（内国株式）,小売業,小売 ,34.0,1.12,0.91,24.75,649022210048.0,1144277958656.0,0.12
3143.T,オーウイル,スタンダード（内国株式）,卸売業,商社・卸売 ,100.0,8.04,4.05,25.5,3924526080.0,31254999040.0,0.15
3148.T,クリエイトＳＤホールディングス,プライム（内国株式）,小売業,小売 ,50.0,1.46,1.32,23.16,220632907776.0,372473004032.0,0.12
3150.T,グリムス,プライム（内国株式）,卸売業,商社・卸売 ,22.0,0.75,0.83,20.55,66828886016.0,31392000000.0,0.27
3151.T,バイタルケーエスケー・ホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,39.0,4.3,2.48,42.08,47591424000.0,579772022784.0,0.05
3153.T,八洲電機,プライム（内国株式）,卸売業,商社・卸売 ,50.0,3.7,2.25,27.75,28424239104.0,60269998080.0,0.08
3154.T,メディアスホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,41.0,5.2,1.61,37.47,17670823936.0,229289000960.0,0.06
3156.T,レスターホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,120.0,5.05,4.02,48.99,70840442880.0,487128989696.0,0.09
